damage,xcentroid,ycentroid
1.9315069,-95.093788,29.590466
1,-95.065392,29.661024
.99853158,-95.065414,29.507875
1,-95.066658,29.914511
.99355918,-95.095207,29.542902
1.3233082,-95.06707,29.46242
1.0714285,-95.067108,29.821102
1.4531915,-95.068161,29.663374
.99977183,-95.096352,29.686798
.99753088,-95.096619,29.510923
1.6009616,-95.096817,29.439873
1.3003851,-95.097366,29.682096
1,-95.069962,29.660583
1.6879432,-95.071129,29.394144
1,-95.071365,29.670786
1,-95.098198,29.797892
1.764607,-95.071609,29.541286
1.7241625,-95.071732,29.481756
1.7958657,-95.072594,29.464283
1.8975782,-95.072769,29.38681
1.9051725,-95.099052,29.456308
.99807376,-95.099159,29.688683
1,-95.099495,29.442129
.99579942,-95.100197,29.499474
2.5654495,-95.100693,29.587605
1.9862295,-95.074219,29.91185
3.6019778,-95.074173,29.729364
1.4805634,-95.07444,29.457354
1.9739568,-95.075333,29.538921
1.978166,-95.100571,29.387049
1.9835206,-95.101265,29.916515
3.3013191,-95.101814,30.074348
1,-95.101761,29.916113
1,-95.10202,29.594669
.9953801,-95.076714,29.658409
1,-95.077103,29.924059
2,-95.077171,29.54027
1,-95.077736,29.927578
1,-95.102661,29.599989
1,-95.102989,29.787775
.99921227,-95.103325,29.446297
1.9755419,-95.07869,29.460623
1,-95.078949,29.665911
1.6382576,-95.079445,29.453678
1,-95.079742,29.667908
2.5918367,-95.104103,29.792261
.99976611,-95.104507,29.598249
1,-95.104713,29.686424
1.4751526,-95.104912,29.652815
1.2394366,-95.105148,29.780781
1.0014327,-95.08107,29.38843
1.9746193,-95.105705,29.364941
1,-95.106781,29.50136
1.9933628,-95.106888,29.746784
1,-95.106995,29.592537
1,-95.106972,29.653206
1,-95.081688,29.511206
2.5034246,-95.081963,29.386457
1.082122,-95.082054,29.5217
1,-95.082085,29.441759
1.0900763,-95.082314,29.914465
1,-95.083267,29.676836
1,-95.107887,29.595854
2,-95.107933,29.414463
1,-95.108414,29.452097
.98818898,-95.108185,29.550331
1.8121212,-95.10849,29.986637
1,-95.084084,29.47378
1.7163935,-95.08419,29.47699
1,-95.084373,29.519135
1.9816754,-95.084587,29.685474
1,-95.084671,29.90937
1,-95.109337,29.971119
1,-95.109863,29.687824
.99025232,-95.109787,29.683165
1.9046154,-95.085983,29.483952
2,-95.086273,29.561012
1.7698171,-95.086426,29.360952
1.9608433,-95.11087,29.392553
1,-95.111153,29.673519
1,-95.111198,29.67717
.99320757,-95.087852,29.494207
1,-95.112518,29.56426
1.4649891,-95.113121,30.018969
1,-95.113411,30.019987
1,-95.113724,29.56658
1,-95.11441,29.479996
.99756867,-95.114479,29.68799
1.6348548,-95.114578,29.374889
1,-95.114754,29.611746
1.0171673,-95.115326,29.796803
.99965304,-95.090874,29.45858
1,-95.091156,29.375816
1,-95.09153,29.44655
2.4852149,-95.092232,29.577782
.99748605,-95.115974,29.672256
1.238193,-95.116302,29.806261
.99989867,-95.092911,29.738949
1,-95.092628,29.498281
